DATE,TIME PERIOD,Compensation per employee (MNA.Q.S.CZ.W2.S1.S1._Z.COM_PS._Z._T._Z.IX.V.N)
3/31/95,1995Q1,22.8
6/30/95,1995Q2,22.85
9/30/95,1995Q3,24.7
12/31/95,1995Q4,25.56
3/31/96,1996Q1,26.37
6/30/96,1996Q2,27.77
9/30/96,1996Q3,28.52
12/31/96,1996Q4,29.71
3/31/97,1997Q1,29.58
6/30/97,1997Q2,31.27
9/30/97,1997Q3,31.59
12/31/97,1997Q4,31.71
3/31/98,1998Q1,32.75
6/30/98,1998Q2,33.25
9/30/98,1998Q3,34.15
12/31/98,1998Q4,34.73
3/31/99,1999Q1,34.82
6/30/99,1999Q2,35.53
9/30/99,1999Q3,36.11
12/31/99,1999Q4,36.86
3/31/00,2000Q1,37.51
6/30/00,2000Q2,38.04
9/30/00,2000Q3,38.99
12/31/00,2000Q4,39.95
3/31/01,2001Q1,40.68
6/30/01,2001Q2,41.73
9/30/01,2001Q3,42.3
12/31/01,2001Q4,42.82
3/31/02,2002Q1,44.29
6/30/02,2002Q2,44.68
9/30/02,2002Q3,45.35
12/31/02,2002Q4,46.17
3/31/03,2003Q1,47.27
6/30/03,2003Q2,48.42
9/30/03,2003Q3,49.02
12/31/03,2003Q4,49.88
3/31/04,2004Q1,51.29
6/30/04,2004Q2,51.7
9/30/04,2004Q3,53
12/31/04,2004Q4,54.05
3/31/05,2005Q1,53.35
6/30/05,2005Q2,54.33
9/30/05,2005Q3,55.05
12/31/05,2005Q4,55.46
3/31/06,2006Q1,55.99
6/30/06,2006Q2,57.45
9/30/06,2006Q3,58.45
12/31/06,2006Q4,59.27
3/31/07,2007Q1,59.89
6/30/07,2007Q2,60.81
9/30/07,2007Q3,61.84
12/31/07,2007Q4,62.85
3/31/08,2008Q1,64.44
6/30/08,2008Q2,64.29
9/30/08,2008Q3,63.97
12/31/08,2008Q4,63.47
3/31/09,2009Q1,63.68
6/30/09,2009Q2,63.4
9/30/09,2009Q3,63.17
12/31/09,2009Q4,64.27
3/31/10,2010Q1,65.21
6/30/10,2010Q2,65.79
9/30/10,2010Q3,66.4
12/31/10,2010Q4,66.96
3/31/11,2011Q1,67.04
6/30/11,2011Q2,67.75
9/30/11,2011Q3,68.22
12/31/11,2011Q4,68.74
3/31/12,2012Q1,69.13
6/30/12,2012Q2,68.81
9/30/12,2012Q3,68.44
12/31/12,2012Q4,69.87
3/31/13,2013Q1,68.21
6/30/13,2013Q2,68.47
9/30/13,2013Q3,69.52
12/31/13,2013Q4,69.66
3/31/14,2014Q1,70.41
6/30/14,2014Q2,70.64
9/30/14,2014Q3,70.92
12/31/14,2014Q4,71.66
3/31/15,2015Q1,72.28
6/30/15,2015Q2,72.7
9/30/15,2015Q3,73.31
12/31/15,2015Q4,74.3
3/31/16,2016Q1,75.42
6/30/16,2016Q2,75.92
9/30/16,2016Q3,77.34
12/31/16,2016Q4,78.38
3/31/17,2017Q1,80.26
6/30/17,2017Q2,82.06
9/30/17,2017Q3,83.1
12/31/17,2017Q4,84.26
3/31/18,2018Q1,87.12
6/30/18,2018Q2,88.61
9/30/18,2018Q3,90.24
12/31/18,2018Q4,91.01
3/31/19,2019Q1,94.18
6/30/19,2019Q2,95.81
9/30/19,2019Q3,96.83
12/31/19,2019Q4,97.7
3/31/20,2020Q1,100.45
6/30/20,2020Q2,95.32
9/30/20,2020Q3,100.2
12/31/20,2020Q4,104.04
3/31/21,2021Q1,101.11
6/30/21,2021Q2,106.97
9/30/21,2021Q3,107.55
12/31/21,2021Q4,108.97
3/31/22,2022Q1,110.13
6/30/22,2022Q2,112.53
9/30/22,2022Q3,114.09
12/31/22,2022Q4,117.09
3/31/23,2023Q1,119.08
6/30/23,2023Q2,120.74
9/30/23,2023Q3,121.81
12/31/23,2023Q4,123.9
3/31/24,2024Q1,126.72
6/30/24,2024Q2,127.71
9/30/24,2024Q3,129.55
12/31/24,2024Q4,131.41
3/31/25,2025Q1,133.56
6/30/25,2025Q2,135.96
9/30/25,2025Q3,137.75